korean,english,emoji,imageUrl
ㄱ,g/k,,
ㄴ,n,,
ㄷ,d/t,,
ㄹ,r/l,,
ㅁ,m,,
ㅂ,b/p,,
ㅅ,s,,
ㅇ,ng (silent),,
ㅈ,j/ch,,
ㅊ,ch,,
ㅋ,k,,
ㅌ,t,,
ㅍ,p,,
ㅎ,h,,
ㄲ,gg/kk,,
ㄸ,dd/tt,,
ㅃ,bb/pp,,
ㅆ,ss,,
ㅉ,jj,,
ㅏ,a,,
ㅐ,ae,,
ㅑ,ya,,
ㅒ,yae,,
ㅓ,eo,,
ㅔ,e,,
ㅕ,yeo,,
ㅖ,ye,,
ㅗ,o,,
ㅘ,wa,,
ㅙ,wae,,
ㅚ,oe,,
ㅛ,yo,,
ㅜ,u,,
ㅝ,wo,,
ㅞ,we,,
ㅟ,wi,,
ㅠ,yu,,
ㅡ,eu,,
ㅢ,ui,,
ㅣ,i,,
가,ga,,
나,na,,
다,da,,
라,ra,,
마,ma,,
바,ba,,
사,sa,,
아,a,,
자,ja,,
차,cha,,
카,ka,,
타,ta,,
파,pa,,
하,ha,,
거,geo,,
너,neo,,
더,deo,,
러,reo,,
머,meo,,
버,beo,,
서,seo,,
어,eo,,
저,jeo,,
처,cheo,,
커,keo,,
터,teo,,
퍼,peo,,
허,heo,,
고,go,,
노,no,,
도,do,,
로,ro,,
모,mo,,
보,bo,,
소,so,,
오,o,,
조,jo,,
초,cho,,
코,ko,,
토,to,,
포,po,,
호,ho,,
구,gu,,
누,nu,,
두,du,,
루,ru,,
무,mu,,
부,bu,,
수,su,,
우,u,,
주,ju,,
추,chu,,
쿠,ku,,
투,tu,,
푸,pu,,
후,hu,,
그,geu,,
느,neu,,
드,deu,,
르,reu,,
므,meu,,
브,beu,,
스,seu,,
으,eu,,
즈,jeu,,
츠,cheu,,
크,keu,,
트,teu,,
프,peu,,
흐,heu,,
기,gi,,
니,ni,,
디,di,,
리,ri,,
미,mi,,
비,bi,,
시,si,,
이,i,,
지,ji,,
치,chi,,
키,ki,,
티,ti,,
피,pi,,
히,hi,,

